pda,ana,mean_ll,diff
-15.993031039637964,-15.771284580832058,-15.882157810235011,-0.2217464588059066
-19.062309059778663,-18.913901707629797,-18.98810538370423,-0.14840735214886536
-17.029784223936595,-17.08877579128827,-17.059280007612433,0.058991567351675656
-18.245622864367043,-18.214079631096098,-18.22985124773157,-0.03154323327094488
-15.662089737654462,-15.670561797770116,-15.666325767712289,0.008472060115654045
-15.868925400064567,-15.694580140068389,-15.781752770066479,-0.17434525999617811
-16.50174406444052,-16.548695261129648,-16.525219662785084,0.04695119668912895
-17.297604959984497,-17.13160023895366,-17.214602599469078,-0.16600472103083774
-17.36174094959642,-17.042721289456235,-17.202231119526328,-0.3190196601401851
-21.21715183923705,-20.23750153216543,-20.727326685701243,-0.9796503070716192
-18.621088620124798,-18.571286244851315,-18.59618743248806,-0.04980237527348308
-16.94237206394657,-16.828283841873272,-16.885327952909922,-0.11408822207329905
-15.589911320586918,-15.596930856773076,-15.593421088679996,0.007019536186158248
-17.846395782728436,-17.79726227409991,-17.82182902841417,-0.04913350862852539
-19.14977592970942,-19.029840700324996,-19.08980831501721,-0.11993522938442425
-15.861261483112596,-15.638224281619372,-15.749742882365984,-0.2230372014932236
-16.51920071933777,-16.404568723243536,-16.46188472129065,-0.11463199609423569
-17.90325027461058,-17.731121745404696,-17.81718601000764,-0.17212852920588517
-18.129850589107477,-18.05494681320342,-18.092398701155446,-0.07490377590405828
-16.50550460267139,-16.524782780968707,-16.51514369182005,0.019278178297316373
-16.766625950605146,-16.689720124222944,-16.728173037414045,-0.07690582638220178
-21.41171705292357,-23.198940879215264,-22.305328966069418,1.7872238262916937
-15.939440254326168,-15.761016834899063,-15.850228544612616,-0.17842341942710505
-16.844565440202047,-16.840100762235593,-16.84233310121882,-0.004464677966453223
-16.696772835725277,-16.832079038289486,-16.76442593700738,0.1353062025642089
-17.391514243175692,-17.472870331524092,-17.432192287349892,0.08135608834840014
-18.592405066810784,-18.4559313741574,-18.524168220484093,-0.13647369265338227
-18.821401191095838,-18.734714187624135,-18.778057689359986,-0.08668700347170244
-15.378023665705204,-15.369296501968314,-15.373660083836759,-0.00872716373688931
-18.541756640695105,-18.539960072084376,-18.54085835638974,-0.0017965686107288548
-17.13268628954953,-17.173638565521664,-17.153162427535598,0.0409522759721348
-18.235156506137763,-18.318353156701626,-18.276754831419694,0.08319665056386327
-17.654393494942518,-17.604240362374448,-17.629316928658483,-0.05015313256807019
-17.989106199677337,-18.041513868380896,-18.015310034029117,0.05240766870355884
-19.70212474696471,-19.538557793921882,-19.620341270443298,-0.1635669530428281
-15.988537485145049,-15.795903343582864,-15.892220414363956,-0.19263414156218417
-17.922948236189438,-17.842561978340047,-17.882755107264742,-0.08038625784939057
-16.731320630434457,-16.699584589285802,-16.71545260986013,-0.03173604114865469
-17.35276037572607,-17.377663133597004,-17.365211754661537,0.0249027578709331
-15.803539009027384,-15.726304349340683,-15.764921679184035,-0.07723465968670062
-17.584304597574576,-17.868405456639046,-17.726355027106813,0.2841008590644698
-15.766362264087846,-15.648858335187022,-15.707610299637434,-0.11750392890082395
-16.73316228814184,-16.719372750722027,-16.726267519431936,-0.01378953741981448
-18.59769033073357,-18.218586852669432,-18.4081385917015,-0.37910347806413824
-17.057456190613916,-16.934030439516853,-16.995743315065383,-0.12342575109706289
-14.985738239491523,-14.97680469643338,-14.98127146796245,-0.0089335430581432
-20.35396517470263,-20.02560739308319,-20.18978628389291,-0.32835778161943807
-19.81985359044824,-19.432369958770316,-19.626111774609278,-0.38748363167792377
-15.82181605036444,-15.695500185518227,-15.758658117941334,-0.12631586484621238
-17.985150143304953,-17.881759618006292,-17.933454880655624,-0.10339052529866066
-17.5201858939575,-17.45010166985533,-17.485143781906416,-0.07008422410217108
-19.33733595536148,-18.997603020352983,-19.167469487857232,-0.3397329350084952
-16.78431262053834,-16.787633510338832,-16.785973065438586,0.0033208898004915
-18.3985165161788,-18.299530814773796,-18.349023665476295,-0.0989857014050024
-15.855978128626445,-15.787667455553631,-15.821822792090039,-0.0683106730728138
-17.64420012096379,-17.770942217536152,-17.707571169249974,0.1267420965723609
-17.373749529815353,-17.436523824140195,-17.405136676977776,0.06277429432484283
-18.905525862606986,-18.596832948204163,-18.751179405405573,-0.30869291440282254
-16.92591083786942,-16.89996158321876,-16.91293621054409,-0.02594925465065856
-18.922132920628602,-19.07082572520136,-18.99647932291498,0.14869280457275735
-17.826660876428388,-17.910010217028155,-17.86833554672827,0.08334934059976717
-17.50963926923885,-17.446411076960313,-17.47802517309958,-0.06322819227853671
-15.483592209924097,-15.379284248550547,-15.431438229237322,-0.10430796137355003
-14.980969363491743,-14.934801155602136,-14.95788525954694,-0.046168207889607515
-19.38174459915081,-19.149917500073286,-19.265831049612046,-0.23182709907752397
-16.118686279916005,-16.121950020776122,-16.120318150346066,0.003263740860116826
-17.55691652900971,-17.82726920229306,-17.692092865651382,0.27035267328335166
-17.68045309062898,-17.543065180376324,-17.611759135502652,-0.13738791025265584
-16.313232159593436,-16.248934176437945,-16.28108316801569,-0.06429798315549107
-17.34650227720147,-17.333559141122276,-17.340030709161873,-0.012943136079194062
-17.335987777866674,-19.626593642250086,-18.48129071005838,2.290605864383412
-16.7843012015863,-16.810250514889333,-16.797275858237818,0.02594931330303396
-17.542795508204257,-17.572572049629393,-17.557683778916825,0.02977654142513586
-17.02958325005983,-16.830947559535204,-16.930265404797517,-0.19863569052462537
-18.36547081522169,-18.22351947130301,-18.294495143262353,-0.1419513439186808
-15.54505655454097,-15.242768679966002,-15.393912617253486,-0.30228787457496864
-15.444688485023786,-15.502289182108715,-15.47348883356625,0.05760069708492921
-16.050559511751572,-16.022271832897633,-16.0364156723246,-0.028287678853939013
-15.17215215520467,-15.175366335937452,-15.17375924557106,0.003214180732783234
-17.895740120453738,-17.934658159277394,-17.915199139865564,0.038918038823656076
-15.291954750363553,-15.061098435770084,-15.176526593066818,-0.23085631459346878
-15.890812733571599,-15.8620318431729,-15.87642228837225,-0.028780890398698133
-16.498775478305443,-16.540668612258003,-16.519722045281725,0.041893133952559225
-15.325450043857659,-15.254029090199976,-15.289739567028818,-0.07142095365768242
-18.26543295643926,-18.151523256047575,-18.20847810624342,-0.1139097003916838
-19.84455265440373,-19.89269019966899,-19.86862142703636,0.04813754526525926
-16.801599093775994,-16.61522488321699,-16.708411988496493,-0.1863742105590056
-19.662034747427203,-19.532575153196873,-19.597304950312036,-0.1294595942303296
-18.658742946219306,-18.73645512004198,-18.697599033130643,0.07771217382267537
-16.294058490908427,-16.34853048066057,-16.3212944857845,0.05447198975214462
-16.120469521962512,-16.077304177687573,-16.098886849825043,-0.04316534427493934
-17.249165387954854,-17.3378925864241,-17.293528987189475,0.08872719846924682
-17.36066577126473,-17.263685295081068,-17.312175533172898,-0.09698047618366346
-20.556799201750522,-20.40139056962773,-20.479094885689126,-0.15540863212279277
-17.081538157025978,-16.95906600974326,-17.02030208338462,-0.12247214728271771
-19.75657947200884,-20.18075867542104,-19.968669073714942,0.42417920341219784
-16.59762587385339,-16.58691446342251,-16.59227016863795,-0.010711410430879198
-20.194526121930263,-19.733695596598047,-19.964110859264153,-0.46083052533221647
-15.327715991524737,-15.264914172447252,-15.296315081985995,-0.06280181907748528
-16.057757861778047,-15.886213408793699,-15.971985635285872,-0.17154445298434773
-16.108622711640553,-16.158091753041802,-16.133357232341176,0.04946904140124886
-16.44826487312268,-16.655187022981302,-16.551725948051992,0.20692214985862023
-17.558257116604466,-17.587338392546954,-17.57279775457571,0.029081275942488105
-17.410049548512085,-17.370835720605584,-17.390442634558834,-0.03921382790650085
-18.37655942600027,-18.542831062119088,-18.45969524405968,0.16627163611881812
-17.76578631803699,-17.91302121355204,-17.839403765794515,0.14723489551504798
-17.328966885567834,-17.263171124959385,-17.29606900526361,-0.06579576060844872
-19.41006413829941,-18.903446219388687,-19.15675517884405,-0.5066179189107238
-18.798098332584946,-18.532175205810034,-18.66513676919749,-0.26592312677491137
-19.261894651748616,-18.894684890307033,-19.078289771027826,-0.36720976144158257
-15.038081842212108,-15.042915851206438,-15.040498846709273,0.004834008994329508
-14.337105076114232,-14.248157300764337,-14.292631188439284,-0.08894777534989551
-17.27297860588035,-17.423576706879867,-17.34827765638011,0.15059810099951676
-16.698730020115097,-16.68088358234953,-16.689806801232315,-0.017846437765566492
-19.346522664568734,-19.279951768171053,-19.31323721636989,-0.06657089639768188
-15.575480017542391,-15.63303671265848,-15.604258365100435,0.057556695116089074
