trial_idx,choice1,choice2,rt1,rt2,pda_loglik,pda_used_eps,pda_n_samples,analytical_loglik,loglik_diff
116,1,2,1696.0,1184.0,-15.02703597829172,false,1000,-14.88554959285273,-0.14148638543898961
117,2,3,3253.0,447.0,-16.344365336784573,false,1000,-16.438868798938934,0.09450346215436056
118,2,3,2617.0,2232.0,-17.293393353252476,false,1000,-17.0619636508601,-0.2314297023923757
119,1,1,5839.0,1103.0,-18.3408316225351,false,1000,-18.507578626754768,0.16674700421966904
120,1,1,4160.0,633.0,-18.10969882085135,false,1000,-17.60380744805138,-0.5058913727999688
121,2,3,1310.0,2839.0,-19.644491040578288,false,1752,-19.64313425572755,-0.001356784850738535
122,1,2,2954.0,1045.0,-16.582423864413403,false,1000,-16.453768617976117,-0.12865524643728676
123,2,3,1535.0,400.0,-15.35995634186058,false,1000,-15.36982575252891,0.009869410668331469
124,1,1,3269.0,1703.0,-17.131728117994733,false,1000,-17.391082179799053,0.25935406180431997
125,2,4,1798.0,1330.0,-16.526423199994102,false,1000,-16.25525901822219,-0.2711641817719119
126,2,4,2937.0,1519.0,-16.941905699080102,false,1000,-16.98820370422092,0.046298005140815945
127,2,4,2510.0,1275.0,-15.815596981131748,false,1000,-15.863718499725888,0.048121518594140156
128,1,2,1575.0,2366.0,-18.940666579655062,false,1730,-19.025919668447234,0.08525308879217164
129,1,1,7311.0,320.0,-18.129571229207478,false,1000,-18.712476229098115,0.582904999890637
130,1,1,2392.0,457.0,-15.108175992122057,false,1000,-15.037477513166804,-0.0706984789552525
131,2,4,1745.0,3466.0,-17.124149780106166,false,1000,-16.90760677577469,-0.2165430043314771
132,1,2,5889.0,1500.0,-18.297542610755794,false,1000,-18.212064958010387,-0.08547765274540708
133,2,3,2470.0,504.0,-15.702796338870233,false,1000,-15.757753530780047,0.054957191909814185
134,2,3,1616.0,508.0,-16.524499239952824,false,1000,-16.287827127125105,-0.23667211282771916
135,1,1,6863.0,862.0,-22.55826001719045,false,6053,-22.472375579494233,-0.08588443769621534
136,2,3,2252.0,1795.0,-16.182634009888115,false,1000,-16.16976793449348,-0.012866075394637022
137,2,4,2221.0,1562.0,-18.10569816264824,false,1000,-18.041428567594366,-0.06426959505387231
138,1,1,4102.0,498.0,-17.32616911373563,false,1000,-16.921331388009033,-0.4048377257265976
139,1,2,2518.0,1083.0,-15.819834963038572,false,1000,-15.744724322685233,-0.07511064035333881
140,1,2,6979.0,1667.0,-19.028977142326028,false,1000,-19.060765190339303,0.03178804801327573
